,home_games,home_wins,home_draws,home_losses,home_win_rate,home_loss_rate,away_games,away_wins,away_draws,away_losses,away_win_rate,away_loss_rate,total_games,total_wins,total_losses,total_draws,overall_win_rate,overall_loss_rate
St. Pauli,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
FC Barcelona,152.0,131.0,12.0,9.0,0.8618421052631579,0.05921052631578947,152.0,103.0,31.0,18.0,0.6776315789473685,0.11842105263157894,304.0,234.0,27.0,43.0,0.7697368421052632,0.08881578947368421
Olympiakos,236.0,198.0,27.0,11.0,0.8389830508474576,0.046610169491525424,236.0,156.0,38.0,42.0,0.6610169491525424,0.17796610169491525,472.0,354.0,53.0,65.0,0.75,0.11228813559322035
Real Madrid CF,152.0,129.0,11.0,12.0,0.8486842105263158,0.07894736842105263,152.0,99.0,25.0,28.0,0.6513157894736842,0.18421052631578946,304.0,228.0,40.0,36.0,0.75,0.13157894736842105
SL Benfica,124.0,102.0,15.0,7.0,0.8225806451612904,0.056451612903225805,124.0,83.0,21.0,20.0,0.6693548387096774,0.16129032258064516,248.0,185.0,27.0,36.0,0.7459677419354839,0.10887096774193548
FC Porto,124.0,102.0,16.0,6.0,0.8225806451612904,0.04838709677419355,124.0,81.0,26.0,17.0,0.6532258064516129,0.13709677419354838,248.0,183.0,23.0,42.0,0.7379032258064516,0.09274193548387097
Porto,272.0,223.0,35.0,14.0,0.8198529411764706,0.051470588235294115,272.0,169.0,61.0,42.0,0.6213235294117647,0.15441176470588236,544.0,392.0,56.0,96.0,0.7205882352941176,0.10294117647058823
FC Bayern Munich,136.0,109.0,14.0,13.0,0.8014705882352942,0.09558823529411764,136.0,84.0,30.0,22.0,0.6176470588235294,0.16176470588235295,272.0,193.0,35.0,44.0,0.7095588235294118,0.12867647058823528
Celtic,462.0,352.0,76.0,34.0,0.7619047619047619,0.0735930735930736,466.0,288.0,94.0,84.0,0.6180257510729614,0.18025751072961374,928.0,640.0,118.0,170.0,0.6896551724137931,0.1271551724137931
Rangers,389.0,290.0,63.0,36.0,0.7455012853470437,0.09254498714652956,387.0,245.0,76.0,66.0,0.6330749354005168,0.17054263565891473,776.0,535.0,102.0,139.0,0.6894329896907216,0.13144329896907217
Panathinaikos,236.0,180.0,30.0,26.0,0.7627118644067796,0.11016949152542373,236.0,131.0,51.0,54.0,0.5550847457627118,0.2288135593220339,472.0,311.0,80.0,81.0,0.6588983050847458,0.1694915254237288
Fenerbahce,302.0,238.0,43.0,21.0,0.7880794701986755,0.0695364238410596,302.0,159.0,65.0,78.0,0.5264900662251656,0.2582781456953642,604.0,397.0,99.0,108.0,0.6572847682119205,0.16390728476821192
Ajax,443.0,341.0,67.0,35.0,0.7697516930022573,0.07900677200902935,439.0,238.0,106.0,95.0,0.5421412300683371,0.2164009111617312,882.0,579.0,130.0,173.0,0.6564625850340136,0.1473922902494331
PSV,136.0,105.0,18.0,13.0,0.7720588235294118,0.09558823529411764,136.0,73.0,29.0,34.0,0.5367647058823529,0.25,272.0,178.0,47.0,47.0,0.6544117647058824,0.17279411764705882
Man United,42.0,28.0,12.0,2.0,0.6666666666666666,0.047619047619047616,42.0,26.0,10.0,6.0,0.6190476190476191,0.14285714285714285,84.0,54.0,8.0,22.0,0.6428571428571429,0.09523809523809523
RSC Anderlecht,106.0,79.0,21.0,6.0,0.7452830188679245,0.05660377358490566,106.0,57.0,28.0,21.0,0.5377358490566038,0.19811320754716982,212.0,136.0,27.0,49.0,0.6415094339622641,0.12735849056603774
Anderlecht,283.0,215.0,43.0,25.0,0.7597173144876325,0.08833922261484099,279.0,143.0,80.0,56.0,0.5125448028673835,0.2007168458781362,562.0,358.0,81.0,123.0,0.6370106761565836,0.14412811387900357
Manchester United,152.0,116.0,16.0,20.0,0.7631578947368421,0.13157894736842105,152.0,76.0,41.0,35.0,0.5,0.23026315789473684,304.0,192.0,55.0,57.0,0.631578947368421,0.18092105263157895
FC Basel,143.0,103.0,26.0,14.0,0.7202797202797203,0.0979020979020979,143.0,77.0,38.0,28.0,0.5384615384615384,0.1958041958041958,286.0,180.0,42.0,64.0,0.6293706293706294,0.14685314685314685
Galatasaray,302.0,221.0,44.0,37.0,0.7317880794701986,0.12251655629139073,300.0,157.0,75.0,68.0,0.5233333333333333,0.22666666666666666,602.0,378.0,105.0,119.0,0.627906976744186,0.1744186046511628
PSV Eindhoven,305.0,234.0,45.0,26.0,0.7672131147540984,0.08524590163934426,305.0,148.0,82.0,75.0,0.4852459016393443,0.2459016393442623,610.0,382.0,101.0,127.0,0.6262295081967213,0.16557377049180327
Bayern Munich,288.0,215.0,51.0,22.0,0.7465277777777778,0.0763888888888889,286.0,144.0,77.0,65.0,0.5034965034965035,0.22727272727272727,574.0,359.0,87.0,128.0,0.6254355400696864,0.15156794425087108
TBM,16.0,12.0,0.0,4.0,0.75,0.25,16.0,8.0,0.0,8.0,0.5,0.5,32.0,20.0,12.0,0.0,0.625,0.375
CHI,16.0,13.0,0.0,3.0,0.8125,0.1875,16.0,7.0,0.0,9.0,0.4375,0.5625,32.0,20.0,12.0,0.0,0.625,0.375
Barcelona,360.0,274.0,52.0,34.0,0.7611111111111111,0.09444444444444444,362.0,175.0,94.0,93.0,0.48342541436464087,0.2569060773480663,722.0,449.0,127.0,146.0,0.6218836565096952,0.17590027700831026
Real Madrid,362.0,267.0,52.0,43.0,0.7375690607734806,0.11878453038674033,360.0,178.0,90.0,92.0,0.49444444444444446,0.25555555555555554,722.0,445.0,135.0,142.0,0.6163434903047091,0.18698060941828254
Benfica,272.0,194.0,56.0,22.0,0.7132352941176471,0.08088235294117647,272.0,140.0,60.0,72.0,0.5147058823529411,0.2647058823529412,544.0,334.0,94.0,116.0,0.6139705882352942,0.17279411764705882
Club Brugge,283.0,209.0,40.0,34.0,0.7385159010600707,0.12014134275618374,279.0,135.0,66.0,78.0,0.4838709677419355,0.27956989247311825,562.0,344.0,112.0,106.0,0.6120996441281139,0.199288256227758
Juventus,489.0,340.0,101.0,48.0,0.6952965235173824,0.09815950920245399,490.0,247.0,148.0,95.0,0.5040816326530613,0.19387755102040816,979.0,587.0,143.0,249.0,0.599591419816139,0.14606741573033707
LA,16.0,11.0,0.0,5.0,0.6875,0.3125,16.0,8.0,0.0,8.0,0.5,0.5,32.0,19.0,13.0,0.0,0.59375,0.40625
Sporting CP,124.0,79.0,27.0,18.0,0.6370967741935484,0.14516129032258066,124.0,65.0,33.0,26.0,0.5241935483870968,0.20967741935483872,248.0,144.0,44.0,60.0,0.5806451612903226,0.1774193548387097
Club Brugge KV,106.0,75.0,18.0,13.0,0.7075471698113207,0.12264150943396226,106.0,48.0,22.0,36.0,0.4528301886792453,0.33962264150943394,212.0,123.0,49.0,40.0,0.5801886792452831,0.23113207547169812
Blackburn,88.0,58.0,20.0,10.0,0.6590909090909091,0.11363636363636363,88.0,44.0,24.0,20.0,0.5,0.22727272727272727,176.0,102.0,30.0,44.0,0.5795454545454546,0.17045454545454544
Tampa Bay Mutiny,19.0,13.0,0.0,6.0,0.6842105263157895,0.3157894736842105,19.0,9.0,0.0,10.0,0.47368421052631576,0.5263157894736842,38.0,22.0,16.0,0.0,0.5789473684210527,0.42105263157894735
Borussia Dortmund,136.0,88.0,30.0,18.0,0.6470588235294118,0.1323529411764706,136.0,69.0,32.0,35.0,0.5073529411764706,0.25735294117647056,272.0,157.0,53.0,62.0,0.5772058823529411,0.1948529411764706
LA Galaxy,32.0,22.0,1.0,9.0,0.6875,0.28125,34.0,16.0,4.0,14.0,0.47058823529411764,0.4117647058823529,66.0,38.0,23.0,5.0,0.5757575757575758,0.3484848484848485
Manchester City,152.0,113.0,18.0,21.0,0.743421052631579,0.13815789473684212,152.0,62.0,43.0,47.0,0.40789473684210525,0.3092105263157895,304.0,175.0,68.0,61.0,0.5756578947368421,0.2236842105263158
Paris Saint-Germain,152.0,102.0,32.0,18.0,0.6710526315789473,0.11842105263157894,152.0,73.0,44.0,35.0,0.48026315789473684,0.23026315789473684,304.0,175.0,53.0,76.0,0.5756578947368421,0.17434210526315788
AEK,222.0,163.0,32.0,27.0,0.7342342342342343,0.12162162162162163,222.0,92.0,66.0,64.0,0.4144144144144144,0.2882882882882883,444.0,255.0,91.0,98.0,0.5743243243243243,0.20495495495495494
Sp Lisbon,272.0,181.0,54.0,37.0,0.6654411764705882,0.13602941176470587,272.0,131.0,79.0,62.0,0.48161764705882354,0.22794117647058823,544.0,312.0,99.0,133.0,0.5735294117647058,0.18198529411764705
Legia Warszawa,120.0,81.0,23.0,16.0,0.675,0.13333333333333333,120.0,56.0,27.0,37.0,0.4666666666666667,0.30833333333333335,240.0,137.0,53.0,50.0,0.5708333333333333,0.22083333333333333
D.C. United,33.0,24.0,2.0,7.0,0.7272727272727273,0.21212121212121213,34.0,14.0,1.0,19.0,0.4117647058823529,0.5588235294117647,67.0,38.0,26.0,3.0,0.5671641791044776,0.3880597014925373
Besiktas,300.0,183.0,67.0,50.0,0.61,0.16666666666666666,302.0,154.0,76.0,72.0,0.5099337748344371,0.23841059602649006,602.0,337.0,122.0,143.0,0.5598006644518272,0.2026578073089701
Atlético Madrid,152.0,103.0,24.0,25.0,0.6776315789473685,0.16447368421052633,152.0,64.0,35.0,53.0,0.42105263157894735,0.34868421052631576,304.0,167.0,78.0,59.0,0.5493421052631579,0.2565789473684211
Newcastle,42.0,28.0,8.0,6.0,0.6666666666666666,0.14285714285714285,42.0,18.0,8.0,16.0,0.42857142857142855,0.38095238095238093,84.0,46.0,22.0,16.0,0.5476190476190477,0.2619047619047619
